,datetime,y,week,soldout,name,kcal,remarks,event,payday,weather,precipitation,temperature,y-predict
0,2014-6-19,56,木,0,アジ唐揚げ南蛮ソース,430.0,0,0,0.0,晴れ,0,27.5,59.254793746505385
1,2014-6-20,57,金,0,炊き込みご飯,407.0,0,0,0.0,薄曇,0,26.5,67.82980264519752
2,2014-6-23,72,月,0,マーボ茄子,421.0,0,0,0.0,曇,0,26.9,83.68275403408795
3,2014-6-24,61,火,0,鶏のトマトシチュー,430.0,0,0,0.0,曇,0,23.7,83.06043588456753
4,2014-6-25,64,水,1,豚の冷しゃぶ,420.0,0,0,0.0,雨,0,25.2,74.32363360417166
5,2014-6-26,49,木,0,キスと野菜の天ぷら,414.0,0,0,0.0,曇,0,25.2,64.74953328112872
6,2014-6-27,74,金,0,牛丼,0.0,お楽しみメニュー,0,0.0,雨,0,25.4,70.45772155306086
7,2014-6-30,65,月,0,鶏の塩から揚げ,435.0,0,0,0.0,薄曇,0,25.5,87.02737809864128
8,2014-7-1,54,火,0,カレイ唐揚げ夏野菜あん,362.0,0,0,0.0,曇,0,28.3,72.07095681532086
9,2014-7-2,50,水,1,タンドリーチキン,363.0,0,0,0.0,快晴,0,28.8,65.72317172389165
10,2014-7-3,53,木,0,白身魚ムニエル,412.0,0,0,0.0,薄曇,0,27.0,60.44930234098871
11,2014-7-4,63,金,0,手作りトンカツ,432.0,0,0,0.0,雨,0.5,22.1,78.34147827665086
12,2014-7-7,82,月,1,和風ハンバーグ,354.0,0,0,0.0,雨,0.5,24.0,90.61090388209128
13,2014-7-8,56,火,0,かじきの甘辛煮,370.0,0,0,0.0,晴れ,0,29.7,68.72633275076753
14,2014-7-9,54,水,1,チキンのコーンクリーム焼き,388.0,料理長のこだわりメニュー,0,0.0,雨,0,24.6,75.75704391755166
15,2014-7-10,48,木,0,プルコギ,386.0,0,0,1.0,曇,0,28.8,56.1490714008487
16,2014-7-11,124,金,0,ポークカレー,0.0,お楽しみメニュー,0,0.0,晴れ,0,33.9,50.15107544684419
17,2014-7-14,65,月,1,鶏のから揚げねぎ塩炒めソース,418.0,0,0,0.0,薄曇,0,30.9,74.12668527822127
18,2014-7-15,51,火,0,豚冷シャブ野菜添え,324.0,0,0,0.0,晴れ,0,30.3,67.29292243738752
19,2014-7-16,53,水,1,白身魚フライ,434.0,0,0,0.0,晴れ,0,30.9,60.70623562706166
20,2014-7-17,53,木,1,豚すき焼き,418.0,0,ママの会,0.0,晴れ,0,30.1,53.04334905519204
21,2014-7-18,55,金,1,エビフライ,401.0,0,0,0.0,曇,0,25.6,69.97991811526752
22,2014-7-22,53,火,0,チンジャオロース,409.0,0,0,0.0,晴れ,0,30.2,67.53182415628419
23,2014-7-23,56,水,1,八宝菜,355.0,0,0,0.0,薄曇,0,32.0,58.07831671919833
24,2014-7-24,62,木,1,ジャンボチキンカツ,410.0,0,0,0.0,曇,0,32.5,47.30970780167203
25,2014-7-25,83,金,0,ひやしたぬきうどん・炊き込みご飯,0.0,お楽しみメニュー,0,0.0,晴れ,0,33.6,50.867780603534186
26,2014-7-28,65,月,1,豚肉のマスタード焼き,432.0,0,0,0.0,晴れ,0,28.9,78.90471965615461
27,2014-7-29,52,火,0,バーベキューチキン,449.0,0,0,0.0,晴れ,0,30.4,67.05402071849086
28,2014-7-30,58,水,0,メンチカツ,441.0,0,0,0.0,晴れ,0,30.6,61.422940783751656
29,2014-7-31,60,木,0,鶏のから揚げスイートチリソース,386.0,0,0,0.0,晴れ,0,32.5,47.30970780167203
30,2014-8-1,38,金,0,豚肉の生姜焼き,380.0,0,0,0.0,薄曇,0,32.7,53.01789607360418
31,2014-8-4,75,月,1,ハンバーグ（デミきのこバター）,410.0,0,0,0.0,曇,0,32.7,69.82645433808126
32,2014-8-5,54,火,1,鶏肉のカレー唐揚,400.0,0,0,0.0,快晴,0,34.3,57.73685368152087
33,2014-8-6,58,水,1,豚キムチ炒め,410.0,0,0,0.0,快晴,0,34.6,51.866872027884995
34,2014-8-7,63,木,0,チキン香草焼きマスタードソース,415.0,0,0,0.0,晴れ,0,32.1,48.265314677258715
35,2014-8-8,129,金,0,チキンカレー,0.0,お楽しみメニュー,0,1.0,曇,0,31.1,56.84032357595085
36,2014-8-11,45,月,0,サーモンフライ・タルタル,411.0,0,0,0.0,晴れ,0,32.4,70.54315949477127
37,2014-8-12,40,火,1,厚切ハムカツ,400.0,0,0,0.0,雨,0,29.4,69.44303790745752
38,2014-8-18,56,月,0,洋食屋さんのメンチカツ,396.0,0,0,0.0,曇,0,32.2,71.0209629325646
39,2014-8-19,53,火,1,牛スキヤキ,385.0,0,0,0.0,晴れ,0,33.3,60.12587087048753
40,2014-8-20,56,水,0,豚ロースのピザ風チーズ焼き,423.0,料理長のこだわりメニュー,ママの会,0.0,快晴,0,33.3,54.97259437354167
41,2014-8-21,54,木,0,チキン南蛮,405.0,0,キャリアアップ支援セミナー,0.0,薄曇,0,33.0,46.11519920718871
42,2014-8-22,100,金,1,ロコモコ丼,0.0,お楽しみメニュー,0,0.0,晴れ,0,33.1,52.062289198017524
43,2014-8-25,55,月,0,白身魚の南部焼き,412.0,0,0,0.0,曇,0,26.0,85.83286950415794
44,2014-8-26,68,火,0,キーマカレー,400.0,0,0,0.0,雨,0,26.2,77.08789291215086
45,2014-8-27,62,水,0,カレイの唐揚げ,410.0,0,0,0.0,曇,0,21.0,84.35750579783166
46,2014-8-28,56,木,0,豚肉の胡麻シャブ,396.0,0,0,0.0,雨,0,21.6,73.34999516140871
47,2014-8-29,39,金,0,チキンの辛味噌焼き,398.0,0,0,0.0,曇,0,25.1,71.17442670975085
48,2014-9-1,65,月,1,ビーフシチュー,380.0,0,0,0.0,曇,0,23.4,92.04431419547127
49,2014-9-2,68,火,1,名古屋味噌カツ,440.0,手作りの味,0,0.0,晴れ,0,29.1,70.15974306414752
50,2014-9-3,53,水,0,親子煮,408.0,0,0,0.0,曇,0,26.7,70.74010782072166
51,2014-9-4,54,木,1,チキンステーキ・きのこソース,405.0,0,0,0.0,曇,0,26.5,61.64381093547205
52,2014-9-5,43,金,0,メンチカツ,380.0,0,0,0.0,晴れ,0,30.2,58.99043904602085
53,2014-9-8,68,月,1,鶏肉の山賊焼き,385.0,0,0,0.0,曇,0,23.1,92.76101935216127
54,2014-9-9,63,火,0,ハンバーグデミソース,460.0,0,0,0.0,晴れ,0,26.8,75.65448259877085
55,2014-9-10,54,水,0,ぶりレモンペッパー焼き,450.0,0,0,1.0,曇,0,25.0,74.80143704196499
56,2014-9-11,53,木,0,手作りチキンカツ,385.0,0,0,0.0,曇,0,21.9,72.63329000471872
57,2014-9-12,115,金,0,ポークカレー,0.0,お楽しみメニュー,0,0.0,晴れ,0,27.3,65.9185888940242
58,2014-9-16,56,火,0,チーズメンチカツ,438.0,0,0,0.0,晴れ,0,28.8,70.87644822083752
59,2014-9-17,49,水,0,チキンフリカッセ,430.0,料理長のこだわりメニュー,ママの会,0.0,曇,0,25.0,74.80143704196499
60,2014-9-18,46,木,0,カレイ唐揚げ 甘酢あん,395.0,0,0,0.0,曇,0,24.1,67.37745218899204
61,2014-9-19,45,金,0,厚切イカフライ,400.0,0,0,0.0,薄曇,0,23.6,74.75795249320085
62,2014-9-22,29,月,0,筑前煮,395.0,0,0,0.0,晴れ,0,25.2,87.74408325533128
63,2014-9-24,59,水,1,白身魚のマスタード焼き,408.0,0,0,0.0,曇,0,24.8,75.27924047975833
64,2014-9-25,50,木,0,牛カルビ焼き肉,394.0,0,0,0.0,曇,0,25.4,64.27172984333538
65,2014-9-26,45,金,0,ランチビュッフェ,0.0,スペシャルメニュー（800円）,キャリアアップ支援セミナー,0.0,晴れ,0,27.1,66.39639233181752
66,2014-9-29,56,月,1,豚肉と玉子の炒め,404.0,0,0,0.0,快晴,0,26.6,84.39945919077793
67,2014-9-30,40,火,0,鶏肉とカシューナッツ炒め,398.0,0,0,0.0,快晴,0,28.1,72.5487602531142
